Year,Month,Day,Time_UTC,Latitude,Longitude,Magnitude,Depth
2009,1,3,19:55:12,-0.52,133.1,5,36
2009,1,3,20:09:36,-0.69,133.45,4.7,35
2009,1,3,18:00:00,-7.09,156.07,4.8,101
2009,1,3,21:07:12,-0.32,132.88,5.6,29
2009,1,3,7:12:00,-0.31,133.04,5.2,35
2009,1,3,0:00:00,-0.4,132.51,5,35
2009,1,3,22:19:12,24.16,121.75,5,9
2009,1,3,12:14:24,-0.28,132.86,5.3,35
2009,1,3,17:16:48,-0.5,132.16,4.9,35
2009,1,3,6:57:36,-0.69,133.3,7.4,23
2009,1,3,3:36:00,-0.51,133.22,5.2,35
2009,1,3,14:24:00,-0.58,133.58,4.7,35
2009,1,3,8:38:24,-0.41,133.83,4.7,35
2009,1,4,2:52:48,-0.69,133.27,5.5,35
2009,1,4,11:02:24,-0.19,132.99,5.2,20
2009,1,4,9:50:24,-0.41,132.75,4.1,97
2009,1,4,11:16:48,-0.36,133.31,4.6,35
2009,1,4,18:00:00,-0.66,133.66,4.6,35
2009,1,4,5:16:48,-0.19,132.86,5.1,38
2009,1,4,6:28:48,-0.73,133.51,4.7,35
2009,1,4,18:43:12,-0.39,132.83,4.5,35
2009,1,4,9:21:36,-0.73,133.55,5.3,20
2009,1,4,18:00:00,-0.54,132.63,4.7,24
2009,1,4,20:24:00,4.98,127.4,4.6,83
2009,1,4,16:48:00,-0.69,133.58,4.8,23
2009,1,4,21:07:12,-0.23,132.73,4.8,32
2009,1,4,2:52:48,-0.34,132.52,4.6,35
2009,1,4,7:12:00,-0.64,133.85,4.5,35
2009,1,4,12:28:48,-0.66,133.51,4.9,31
2009,1,4,5:45:36,-0.29,132.71,4.5,35
2009,1,4,14:24:00,24.07,122.2,4.4,28
2009,1,4,7:55:12,-0.76,133.14,4.6,29
2009,1,4,4:33:36,-0.28,132.8,4.6,35
2009,1,4,15:07:12,-0.69,133.64,4.5,35
2009,1,4,17:02:24,-0.2,133.24,4.1,35
2009,1,4,13:12:00,36.73,22.28,4.3,10
2009,1,4,13:12:00,21.58,75.33,4.1,10
2009,1,4,2:24:00,-7.38,128.09,4.5,34
2009,1,4,1:12:00,-0.61,133.4,4.3,35
2009,1,4,10:04:48,-0.67,133.19,5.7,31
2009,1,4,18:57:36,-0.66,134.04,4.9,35
2009,1,4,2:38:24,-0.7,133.71,4.6,35
2009,1,4,10:33:36,-2.68,139.27,4.1,35
2009,1,4,14:38:24,-0.24,132.9,4.8,35
2009,1,4,23:31:12,-0.71,133.17,4.7,35
2009,1,4,8:38:24,1.1,121.86,5,50
2009,1,4,12:00:00,-0.28,132.68,4.8,35
2009,1,4,13:12:00,-0.4,132.76,5.9,35
2009,1,4,9:50:24,-17.97,-179.81,4.7,639
2009,1,4,9:07:12,-5.8,147.59,4.8,35
2009,1,4,18:57:36,-0.71,133.6,5,35
2009,1,4,19:12:00,-0.38,132.9,4.5,35
2009,1,4,17:45:36,-0.73,133.49,5,35
2009,1,4,21:50:24,-0.71,133.99,4.1,35
2009,1,4,9:07:12,-0.29,133.1,4.5,35
2009,1,4,20:52:48,-0.44,132.87,4.2,35
2009,1,4,21:07:12,-0.96,131.05,4.1,35
2009,1,4,12:00:00,35.1,27.76,4.3,9
2009,1,4,4:48:00,-0.37,133.1,4,35
2009,1,4,2:38:24,-0.33,133.06,4.6,35
2009,1,4,16:19:12,-49.71,125.81,4.5,10
2009,1,4,12:28:48,-0.79,133.22,4.6,35
2009,1,4,0:28:48,-0.26,132.73,4.5,35
2009,1,4,12:00:00,-0.68,133.84,5.1,35
2009,1,4,13:12:00,47.11,156.42,4,10
2009,1,4,11:31:12,-0.28,132.84,4.1,35
2009,1,4,19:40:48,-0.51,132.98,4.6,35
2009,1,4,12:28:48,-0.31,133.17,4.6,35
2009,1,4,4:48:00,-0.34,132.47,4.7,35
2009,1,4,19:40:48,-0.57,132.73,5.3,35
2009,1,4,2:09:36,-0.22,132.71,4.8,35
2009,1,4,13:55:12,10.25,93.94,4.9,35
2009,1,4,16:48:00,-30.31,-177.49,4.8,25
2009,1,4,6:14:24,24.07,123.61,4.4,30
2009,1,4,0:00:00,47.17,9.36,4.5,2
2009,1,4,18:57:36,-0.71,133.46,4.6,35
2009,1,4,9:36:00,-0.74,133.08,4.7,35
2009,1,4,0:00:00,38.78,-122.77,4.2,4
2009,1,4,3:21:36,-58.33,-139.85,5.2,10
2009,1,4,14:24:00,2.51,124.12,4.7,353
2009,1,4,16:19:12,-0.78,133.49,4.6,35
2009,1,4,0:00:00,15.23,-92.06,4.7,177
2009,1,4,15:50:24,-1.04,133.76,4.5,6
2009,1,4,17:31:12,6.45,94.17,5.3,35
2009,1,4,20:52:48,19.97,147.01,5,38
2009,1,4,11:02:24,-34.46,-70.58,5.1,90
2009,1,4,20:24:00,19.98,146.98,4.5,35
2009,1,4,0:00:00,-32.64,-71.83,4.5,22
2009,1,4,6:57:36,36.44,70.88,5.7,186
