WKT,osm_id,access,addr_house,addr_hou_1,addr_inter,admin_leve,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,constructi,covered,culvert,cutting,denominati,disused,embankment,foot,generator_,harbour,highway,historic,horse,intermitte,junction,landuse,layer,leisure,lock,man_made,military,motorcar,name,natural,oneway,operator,population,power,power_sour,place,railway,ref,religion,route,service,shop,sport,surface,toll,tourism,tower_type,tracktype,tunnel,water,waterway,wetland,width,wood,z_order,way_area
"LINESTRING (11.965369770452488 50.662091136464944,11.96623287177747 50.662162737000976,11.966746528456929 50.662199793375642,11.967313185738151 50.662092107126846,11.968340229602486 50.661777211926044,11.971245740557441 50.66119829025974,11.971906990438082 50.661039212588925,11.974578310598467 50.661072729716814)",    4554627,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,,,,,,,,,,,,,,,,S 311,,,,,,,,,,,,,,,,,          6,               0.0000000000000000
"LINESTRING (11.974578310598467 50.661072729716814,11.975018215593101 50.661034073674529,11.976890574139793 50.660699757527979,11.978170493756606 50.66055272618501,11.978819436717854 50.660391362322144,11.980531625649386 50.659883570704558,11.982152186421938 50.659550045735571,11.983487352428723 50.659420426589378,11.984747059951644 50.659418999063732,11.986207451109038 50.659452974162107,11.987839420485697 50.659425965388436,11.990355511764989 50.659018547848852,11.991364409660584 50.658701347850787,11.992055573440185 50.658339377480821,11.993424336438597 50.657507160474665,11.994639667186481 50.656641636776534,11.995153862855112 50.656206670373294,11.995727616827081 50.655758679867802,11.996227529282692 50.655507586306186,11.996974119115324 50.655437974274754,11.997619828141548 50.65529155453622,11.998565754135727 50.65507632125599,11.999318811838405 50.655008421774525,12.000041955642121 50.655193103564784,12.001235816654715 50.655690724272475)",    8431974,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,,,,,,,,,,,,,,,,S 311,,,,,,,,,,,,,,,,,          6,               0.0000000000000000
"LINESTRING (11.974578310598467 50.661072729716814,11.974804775881594 50.661308148320572,11.974696079732217 50.663326201779732,11.974790492668578 50.663818597244692,11.975033217458348 50.664189717482948,11.975367211080982 50.664452525923451,11.975741179733761 50.664627635571094,11.976199230697134 50.664839227898277,11.976604640384858 50.664904772223927,11.977133568424145 50.665023414070745,11.977599255067434 50.665155015959222,11.978047065236568 50.665341370450214,11.978439629015728 50.665686558207788,11.978595666380579 50.666020039359282,11.978907471615697 50.666539011453203,11.979234727873703 50.666833835275263,11.97973778443281 50.667044789598123,11.980213711870336 50.667164739114234,11.981252882991004 50.667342807342216,11.984389530468565 50.667710531213324,11.986176279568678 50.66789345006702,11.987449371989333 50.66827458580115,11.988276091545309 50.66861432834861,11.988968692629363 50.668937626682862,11.99035542193346 50.6691623299809,11.991595186857074 50.669248819910322,11.992353275125341 50.669617213835139,11.992532668687579 50.670155441667951,11.992497993717613 50.670545807103395,11.992690143356885 50.670986234500539,11.992842946786714 50.671170910209241,11.993164184332317 50.671335376585603,11.993834237702741 50.671545225935184)",    4554628,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,,,,,,,,,,,,,,,,S 297,,,,,,,,,,,,,,,,,          6,               0.0000000000000000
"LINESTRING (11.974804775881594 50.661308148320572,11.975018215593101 50.661034073674529)",   28901209,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,,,,,,,,,,,,,,,,S 297,,,,,,,,,,,,,,,,,          6,               0.0000000000000000
"LINESTRING (11.978918341230637 50.545361903919279,11.979333991712599 50.545697789036495)",   45457633,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,,B 173,,,,,,,,,,,,,,,,,          7,               0.0000000000000000
"LINESTRING (11.979333991712599 50.545697789036495,11.980259076792185 50.546464797838411)",   38590631,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,,B 173,,,,,,,,,,,,,,,,,          7,               0.0000000000000000
"LINESTRING (11.980259076792185 50.546464797838411,11.981167992196657 50.547185202293448,11.981653621439252 50.547570813892364)",   38590632,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,,B 173,,,,,,,,,,,,,,,,,          7,               0.0000000000000000
"LINESTRING (11.982970731308827 50.555453721049851,11.983447736724694 50.555247871398478,11.98388916885531 50.555129866548022,11.984650221564015 50.555046141296977,11.983380991899086 50.55491720526252,11.982292682932373 50.555138508038411,11.982447821981941 50.554241100784637,11.982442162595651 50.554029637292828,11.982715160610494 50.554087382086607,11.982624161272215 50.554370610971887,11.984364916629779 50.554600844062669,11.984911810974753 50.553778798577255,11.984388542321753 50.553458194642111,11.983690910672106 50.553214964560503,11.980614629981638 50.550311386722683,11.98143703762425 50.54809321896748,11.981733032510366 50.547511057753034,11.981020668490061 50.546946862174792)",   -1715069,,,,,2,,,,,,,,,administrative,,,,,,,,,,,,,,,,,,,,,,,,"LÃ¤nderdreieck Sachsen, Sachsen-Anhalt, ThÃ¼ringen",,,,,,,,,,,,,,,,,,,,,,,,,,          0,               0.0000000000000000
"LINESTRING (11.982970731308827 50.555453721049851,11.983447736724694 50.555247871398478,11.98388916885531 50.555129866548022,11.984650221564015 50.555046141296977,11.983380991899086 50.55491720526252,11.982292682932373 50.555138508038411,11.982447821981941 50.554241100784637,11.982442162595651 50.554029637292828,11.982715160610494 50.554087382086607,11.982624161272215 50.554370610971887,11.984364916629779 50.554600844062669,11.984911810974753 50.553778798577255,11.984388542321753 50.553458194642111,11.983690910672106 50.553214964560503,11.980614629981638 50.550311386722683,11.98143703762425 50.54809321896748,11.981733032510366 50.547511057753034,11.981020668490061 50.546946862174792)",     -62467,,,,,4,,,,,,,,,administrative,,,,,,,,,,,,,,,,,,,,,,,,Sachsen,,,,,,,,,,,,,,,,,,,,,,,,,,          0,               0.0000000000000000
"LINESTRING (11.982970731308827 50.555453721049851,11.983447736724694 50.555247871398478,11.98388916885531 50.555129866548022,11.984650221564015 50.555046141296977,11.983380991899086 50.55491720526252,11.982292682932373 50.555138508038411,11.982447821981941 50.554241100784637,11.982442162595651 50.554029637292828,11.982715160610494 50.554087382086607,11.982624161272215 50.554370610971887,11.984364916629779 50.554600844062669,11.984911810974753 50.553778798577255,11.984388542321753 50.553458194642111,11.983690910672106 50.553214964560503,11.980614629981638 50.550311386722683,11.98143703762425 50.54809321896748,11.981733032510366 50.547511057753034,11.981020668490061 50.546946862174792)",    -444884,,,,,8,,,,,,,,,administrative,,,,,,,,,,,,,,,,,,,,,,,,Triebel,,,,,,,,,,,,,,,,,,,,,,,,,,          0,               0.0000000000000000
